City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Gangtok,Satisfactory,77,"O
3",1,2022-04-07
Gangtok,Satisfactory,76,"O
3",1,2022-04-15
Gangtok,Satisfactory,59,"O
3",1,2022-04-20
Gangtok,Satisfactory,77,"O
3",1,2022-04-22
Gangtok,Satisfactory,57,"O
3",1,2022-04-30
Gangtok,Satisfactory,64,"O
3",1,2022-05-01
Gangtok,Good,49,"O
3",1,2022-05-02
Gangtok,Satisfactory,71,"PM
2.5",1,2022-05-12
Gangtok,Good,30,"O
3",1,2022-05-13
Gangtok,Good,35,"O
3",1,2022-05-14
Gangtok,Good,40,"PM
10",1,2022-05-15
Gangtok,Good,34,"PM
10",1,2022-05-16
Gangtok,Good,41,"O
3",1,2022-05-17
Gangtok,Good,46,"O
3",1,2022-05-18
Gangtok,Good,35,"O
3",1,2022-05-19
Gangtok,Good,37,"O
3",1,2022-05-21
Gangtok,Good,40,"O
3",1,2022-05-24
Gangtok,Good,45,"PM
10",1,2022-05-25
Gangtok,Good,24,"O
3",1,2022-05-26
Gangtok,Good,31,"O
3",1,2022-05-27
Gangtok,Good,41,"O
3",1,2022-05-28
Gangtok,Good,39,"O
3",1,2022-05-29
Gangtok,Good,26,"PM
10",1,2022-05-30
Gangtok,Good,23,"O
3",1,2022-06-02
Gangtok,Good,29,"O
3",1,2022-06-03
Gangtok,Good,27,"PM
10",1,2022-06-04
Gangtok,Good,26,"O
3",1,2022-06-05
Gangtok,Good,36,"O
3",1,2022-06-06
Gangtok,Good,22,"PM
10",1,2022-06-08
Gangtok,Good,27,"PM
10",1,2022-06-09
Gangtok,Good,44,"O
3",1,2022-06-13
Gangtok,Good,26,"PM
10",1,2022-06-14
Gangtok,Good,26,"O
3",1,2022-06-15
Gangtok,Good,22,CO,1,2022-06-17
Gangtok,Good,19,"O
3",1,2022-06-19
Gangtok,Good,27,"O
3",1,2022-06-21
Gangtok,Good,41,"O
3",1,2022-06-24
Gangtok,Good,22,"O
3",1,2022-06-25
Gangtok,Good,18,"O
3",1,2022-06-26
Gangtok,Good,18,"O
3",1,2022-06-27
Gangtok,Good,15,"O
3",1,2022-06-28
Gangtok,Good,16,"O
3",1,2022-07-08
Gangtok,Good,13,"O
3",1,2022-07-12
Gangtok,Good,13,"O
3",1,2022-07-14
Gangtok,Good,16,"O
3",1,2022-07-15
Gangtok,Good,16,"O
3",1,2022-07-16
Gangtok,Good,20,"O
3",1,2022-07-17
Gangtok,Good,18,"O
3",1,2022-07-18
Gangtok,Good,15,"O
3",1,2022-07-19
Gangtok,Good,13,"O
3",1,2022-07-20
Gangtok,Good,14,"O
3",1,2022-07-21
Gangtok,Good,14,"O
3",1,2022-07-22
Gangtok,Good,16,"O
3",1,2022-07-23
Gangtok,Good,12,"O
3",1,2022-07-24
Gangtok,Good,13,"O
3",1,2022-07-25
Gangtok,Good,17,"O
3",1,2022-07-26
Gangtok,Good,16,"O
3",1,2022-07-27
Gangtok,Good,17,"O
3",1,2022-07-28
Gangtok,Good,19,"O
3",1,2022-07-29
Gangtok,Good,16,"O
3",1,2022-07-30
Gangtok,Good,14,"O
3",1,2022-07-31
Gangtok,Good,14,"O
3",1,2022-08-01
Gangtok,Good,17,"O
3",1,2022-08-02
Gangtok,Good,15,"O
3",1,2022-08-03
Gangtok,Good,23,"O
3",1,2022-08-05
Gangtok,Good,20,"O
3",1,2022-08-06
Gangtok,Good,18,"O
3",1,2022-08-07
Gangtok,Good,13,"SO
2",1,2022-08-08
Gangtok,Good,17,"O
3",1,2022-08-09
Gangtok,Good,24,"O
3",1,2022-08-24
Gangtok,Good,18,"O
3",1,2022-08-25
Gangtok,Good,20,"O
3",1,2022-08-26
Gangtok,Good,18,"PM
2.5",1,2022-08-27
Gangtok,Good,21,"O
3",1,2022-08-28
Gangtok,Good,17,"O
3",1,2022-08-29
Gangtok,Good,20,"PM
2.5",1,2022-08-30
Gangtok,Good,17,"O
3",1,2022-08-31
Gangtok,Good,19,"O
3",1,2022-09-01
Gangtok,Good,20,"O
3",1,2022-09-02
Gangtok,Good,15,"O
3",1,2022-09-03
Gangtok,Good,18,"O
3",1,2022-09-04
Gangtok,Good,17,"O
3",1,2022-09-05
Gangtok,Good,23,"O
3",1,2022-09-06
Gangtok,Good,20,"O
3",1,2022-09-07
Gangtok,Good,17,"O
3",1,2022-09-08
Gangtok,Good,14,"O
3",1,2022-09-09
Gangtok,Good,16,"O
3",1,2022-09-27
Gangtok,Good,22,"O
3",1,2022-09-28
Gangtok,Good,26,"O
3",1,2022-09-29
Gangtok,Good,21,"O
3",1,2022-09-30
Gangtok,Good,28,"O
3",1,2022-10-01
Gangtok,Good,24,"O
3",1,2022-10-02
Gangtok,Good,21,"O
3",1,2022-10-03
Gangtok,Good,15,"SO
2",1,2022-10-06
Gangtok,Good,16,"O
3",1,2022-10-07
Gangtok,Good,16,"SO
2",1,2022-10-08
Gangtok,Good,15,"SO
2",1,2022-10-09
Gangtok,Good,15,"SO
2",1,2022-10-10
Gangtok,Good,16,"O
3",1,2022-10-11
Gangtok,Good,15,"SO
2",1,2022-10-12
Gangtok,Good,15,"O
3",1,2022-10-13
Gangtok,Good,31,"O
3",1,2022-10-14
