City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated / Total Stations (Based on Number of Monitoring Stations),Date
Maihar,Satisfactory,91,CO,1,2019-02-11
Maihar,Satisfactory,95,CO,1,2019-02-13
Maihar,Satisfactory,95,CO,1,2019-02-14
Maihar,Satisfactory,93,CO,1,2019-02-15
Maihar,Satisfactory,93,CO,1,2019-02-16
Maihar,Satisfactory,92,CO,1,2019-02-17
Maihar,Satisfactory,93,CO,1,2019-02-18
Maihar,Satisfactory,92,CO,1,2019-02-19
Maihar,Moderate,103,"PM
10",1,2019-02-20
Maihar,Satisfactory,94,CO,1,2019-02-21
Maihar,Satisfactory,92,CO,1,2019-02-22
Maihar,Satisfactory,92,CO,1,2019-02-24
Maihar,Satisfactory,95,CO,1,2019-02-25
Maihar,Satisfactory,96,CO,1,2019-02-26
Maihar,Satisfactory,96,CO,1,2019-02-27
Maihar,Satisfactory,92,CO,1,2019-02-28
Maihar,Satisfactory,91,CO,1,2019-03-01
Maihar,Satisfactory,96,CO,1,2019-03-02
Maihar,Moderate,102,CO,1,2019-03-03
Maihar,Moderate,103,CO,1,2019-03-04
Maihar,Moderate,102,CO,1,2019-03-05
Maihar,Satisfactory,100,CO,1,2019-03-06
Maihar,Satisfactory,99,CO,1,2019-03-07
Maihar,Satisfactory,99,CO,1,2019-03-08
Maihar,Satisfactory,100,CO,1,2019-03-09
Maihar,Moderate,101,CO,1,2019-03-10
Maihar,Moderate,101,CO,1,2019-03-11
Maihar,Satisfactory,98,CO,1,2019-03-12
Maihar,Moderate,101,CO,1,2019-03-13
Maihar,Moderate,102,CO,1,2019-03-14
Maihar,Satisfactory,94,CO,1,2019-03-15
Maihar,Satisfactory,53,"PM
10",1,2019-03-16
Maihar,Good,48,"PM
10",1,2019-03-17
Maihar,Satisfactory,57,"PM
2.5",1,2019-03-18
Maihar,Satisfactory,57,"PM
10",1,2019-03-19
Maihar,Satisfactory,58,"PM
10",1,2019-03-20
Maihar,Good,46,"PM
2.5",1,2019-03-21
Maihar,Satisfactory,55,"PM
10",1,2019-03-22
Maihar,Good,49,"PM
10",1,2019-03-23
Maihar,Satisfactory,58,"PM
10",1,2019-03-24
Maihar,Satisfactory,81,"PM
10",1,2019-03-25
Maihar,Satisfactory,86,"PM
10",1,2019-03-26
Maihar,Good,47,"PM
10",1,2019-03-27
Maihar,Satisfactory,51,"PM
10",1,2019-03-28
Maihar,Satisfactory,64,"PM
10",1,2019-03-29
Maihar,Satisfactory,64,"PM
10",1,2019-03-30
Maihar,Satisfactory,84,"PM
10",1,2019-03-31
Maihar,Satisfactory,67,"PM
10",1,2019-04-01
Maihar,Good,48,"PM
10",1,2019-04-02
Maihar,Satisfactory,60,"PM
10",1,2019-04-03
Maihar,Good,48,CO,1,2019-04-06
Maihar,Moderate,110,"PM
10",1,2019-04-07
Maihar,Satisfactory,54,CO,1,2019-04-08
Maihar,Satisfactory,57,"PM
10",1,2019-04-09
Maihar,Satisfactory,63,"PM
10",1,2019-04-10
Maihar,Satisfactory,84,"PM
10",1,2019-04-11
Maihar,Satisfactory,51,"PM
10",1,2019-04-12
Maihar,Satisfactory,51,"PM
10",1,2019-04-13
Maihar,Satisfactory,75,"PM
10",1,2019-04-14
Maihar,Satisfactory,78,"PM
10",1,2019-04-15
Maihar,Satisfactory,56,"PM
10",1,2019-04-16
Maihar,Good,46,CO,1,2019-04-17
Maihar,Good,44,"PM
2.5",1,2019-04-18
Maihar,Good,48,"PM
10",1,2019-04-19
Maihar,Good,44,"PM
2.5",1,2019-04-20
Maihar,Good,46,"PM
2.5",1,2019-04-21
Maihar,Good,43,"PM
2.5",1,2019-04-22
Maihar,Satisfactory,61,"PM
10",1,2019-04-23
Maihar,Satisfactory,88,"PM
10",1,2019-04-24
Maihar,Moderate,164,"PM
10",1,2019-04-28
Maihar,Moderate,162,"PM
10",1,2019-04-29
Maihar,Moderate,150,"PM
10",1,2019-04-30
Maihar,Moderate,116,"PM
10",1,2019-05-01
Maihar,Moderate,145,"PM
10",1,2019-05-02
Maihar,Moderate,133,"PM
10",1,2019-05-03
Maihar,Moderate,112,"PM
10",1,2019-05-04
Maihar,Moderate,104,"PM
10",1,2019-05-05
Maihar,Satisfactory,99,"PM
10",1,2019-05-06
Maihar,Moderate,111,"PM
10",1,2019-05-07
Maihar,Moderate,130,"PM
10",1,2019-05-08
Maihar,Moderate,104,"PM
10",1,2019-05-09
Maihar,Satisfactory,87,"PM
10",1,2019-05-10
Maihar,Satisfactory,74,CO,1,2019-05-11
Maihar,Satisfactory,95,"PM
10",1,2019-05-12
Maihar,Moderate,155,"PM
10",1,2019-05-13
Maihar,Satisfactory,80,CO,1,2019-05-14
Maihar,Satisfactory,68,"PM
10",1,2019-05-15
Maihar,Satisfactory,81,"PM
10",1,2019-05-16
Maihar,Satisfactory,92,"PM
10",1,2019-05-17
Maihar,Satisfactory,86,"PM
10",1,2019-05-18
Maihar,Satisfactory,58,CO,1,2019-05-19
Maihar,Satisfactory,64,"PM
10",1,2019-05-20
Maihar,Satisfactory,66,"PM
10",1,2019-05-21
Maihar,Satisfactory,98,"PM
10",1,2019-05-22
Maihar,Satisfactory,91,"PM
10",1,2019-05-23
Maihar,Satisfactory,76,"PM
10",1,2019-05-24
Maihar,Satisfactory,76,"PM
10",1,2019-05-25
Maihar,Satisfactory,64,"PM
10",1,2019-05-26
Maihar,Satisfactory,65,"PM
10",1,2019-05-27
Maihar,Satisfactory,75,"PM
10",1,2019-05-28
Maihar,Satisfactory,70,"PM
10",1,2019-05-29
Maihar,Satisfactory,65,"PM
10",1,2019-05-30
Maihar,Satisfactory,61,"PM
10",1,2019-05-31
Maihar,Satisfactory,81,"PM
10",1,2019-06-01
Maihar,Satisfactory,86,"PM
10",1,2019-06-02
Maihar,Satisfactory,74,"PM
10",1,2019-06-03
Maihar,Satisfactory,88,"PM
10",1,2019-06-04
Maihar,Moderate,107,"PM
10",1,2019-06-05
Maihar,Satisfactory,100,"PM
10",1,2019-06-06
Maihar,Satisfactory,76,"PM
10",1,2019-06-07
Maihar,Satisfactory,84,"PM
10",1,2019-06-08
Maihar,Satisfactory,80,"PM
10",1,2019-06-09
Maihar,Satisfactory,67,"PM
10",1,2019-06-10
Maihar,Satisfactory,70,"PM
10",1,2019-06-11
Maihar,Satisfactory,84,"PM
10",1,2019-06-12
Maihar,Satisfactory,54,CO,1,2019-06-13
Maihar,Satisfactory,56,CO,1,2019-06-14
Maihar,Satisfactory,54,CO,1,2019-06-15
Maihar,Satisfactory,55,CO,1,2019-06-16
Maihar,Satisfactory,62,"PM
10",1,2019-06-17
Maihar,Satisfactory,65,"PM
10",1,2019-06-18
Maihar,Satisfactory,69,"PM
10",1,2019-06-19
Maihar,Satisfactory,56,"PM
10",1,2019-06-20
Maihar,Satisfactory,58,"PM
10",1,2019-06-21
Maihar,Satisfactory,63,"PM
10",1,2019-06-22
Maihar,Good,43,CO,1,2019-06-23
Maihar,Satisfactory,62,"PM
10",1,2019-06-24
Maihar,Satisfactory,75,"PM
10",1,2019-06-25
Maihar,Satisfactory,61,"PM
10",1,2019-06-26
Maihar,Good,45,"PM
10",1,2019-06-27
Maihar,Satisfactory,52,"PM
10",1,2019-06-28
Maihar,Satisfactory,62,"PM
10",1,2019-06-29
Maihar,Satisfactory,66,"PM
10",1,2019-06-30
Maihar,Satisfactory,54,"PM
10",1,2019-07-01
Maihar,Good,49,"PM
10",1,2019-07-02
Maihar,Good,43,CO,1,2019-07-03
Maihar,Good,44,CO,1,2019-07-04
Maihar,Good,41,CO,1,2019-07-05
Maihar,Good,40,CO,1,2019-07-06
Maihar,Good,38,CO,1,2019-07-07
Maihar,Good,38,CO,1,2019-07-08
Maihar,Satisfactory,52,"PM
10",1,2019-07-09
Maihar,Good,47,"PM
10",1,2019-07-10
Maihar,Satisfactory,66,"PM
10",1,2019-07-11
Maihar,Satisfactory,85,"PM
10",1,2019-07-12
Maihar,Satisfactory,79,"PM
10",1,2019-07-13
Maihar,Satisfactory,74,"PM
10",1,2019-07-14
Maihar,Moderate,104,"PM
10",1,2019-07-15
Maihar,Satisfactory,92,"PM
10",1,2019-07-16
Maihar,Satisfactory,87,"PM
10",1,2019-07-17
Maihar,Satisfactory,81,"PM
10",1,2019-07-18
Maihar,Satisfactory,73,"PM
10",1,2019-07-19
Maihar,Satisfactory,77,"PM
10",1,2019-07-20
Maihar,Satisfactory,60,"PM
10",1,2019-07-21
Maihar,Good,48,"PM
10",1,2019-07-22
Maihar,Satisfactory,52,"PM
10",1,2019-07-23
Maihar,Good,46,"PM
10",1,2019-07-24
Maihar,Good,36,"PM
10",1,2019-07-25
Maihar,Good,29,CO,1,2019-07-26
Maihar,Good,29,CO,1,2019-07-27
Maihar,Good,43,"PM
10",1,2019-07-28
Maihar,Good,30,CO,1,2019-07-29
Maihar,Good,33,CO,1,2019-07-30
Maihar,Good,33,"PM
10",1,2019-07-31
Maihar,Good,30,CO,1,2019-08-01
Maihar,Good,28,CO,1,2019-08-02
Maihar,Good,29,CO,1,2019-08-03
Maihar,Good,30,"PM
10",1,2019-08-04
Maihar,Good,25,CO,1,2019-08-05
Maihar,Good,38,CO,1,2019-08-07
Maihar,Good,40,CO,1,2019-08-08
Maihar,Good,41,CO,1,2019-08-09
Maihar,Satisfactory,58,"PM
10",1,2019-08-10
Maihar,Satisfactory,58,"PM
10",1,2019-08-11
Maihar,Good,43,CO,1,2019-08-13
Maihar,Good,45,CO,1,2019-08-14
Maihar,Good,45,CO,1,2019-08-15
Maihar,Good,44,CO,1,2019-08-16
Maihar,Good,29,CO,1,2019-08-23
Maihar,Good,36,CO,1,2019-08-24
Maihar,Good,40,CO,1,2019-08-25
Maihar,Good,40,CO,1,2019-08-26
Maihar,Good,41,CO,1,2019-08-27
Maihar,Good,40,CO,1,2019-08-28
Maihar,Good,40,CO,1,2019-08-29
Maihar,Good,48,"PM
10",1,2019-08-30
Maihar,Good,45,"PM
10",1,2019-08-31
Maihar,Good,48,"PM
2.5",1,2019-09-01
Maihar,Satisfactory,65,"PM
2.5",1,2019-09-02
Maihar,Good,49,"PM
10",1,2019-09-03
Maihar,Good,48,"PM
10",1,2019-09-04
Maihar,Good,39,CO,1,2019-09-05
Maihar,Good,38,CO,1,2019-09-06
Maihar,Good,37,CO,1,2019-09-07
Maihar,Good,38,CO,1,2019-09-08
Maihar,Good,40,CO,1,2019-09-09
Maihar,Good,40,CO,1,2019-09-10
Maihar,Good,40,CO,1,2019-09-11
Maihar,Good,32,"PM
10",1,2019-09-13
Maihar,Good,27,"PM
10",1,2019-09-14
Maihar,Good,48,"PM
10",1,2019-09-15
Maihar,Satisfactory,54,"PM
10",1,2019-09-16
Maihar,Good,38,"PM
10",1,2019-09-17
Maihar,Satisfactory,61,"PM
10",1,2019-09-18
Maihar,Satisfactory,72,"PM
10",1,2019-09-19
Maihar,Good,26,CO,1,2019-09-29
Maihar,Good,19,CO,1,2019-10-01
Maihar,Good,45,"PM
2.5",1,2019-10-07
Maihar,Satisfactory,70,"PM
2.5",1,2019-10-08
Maihar,Good,43,"PM
2.5",1,2019-10-13
Maihar,Good,42,"PM
2.5",1,2019-10-14
Maihar,Satisfactory,59,"PM
10",1,2019-10-19
Maihar,Good,45,"PM
10",1,2019-10-20
Maihar,Satisfactory,77,"PM
10",1,2019-10-21
Maihar,Satisfactory,64,"PM
10",1,2019-10-22
Maihar,Satisfactory,53,"PM
10",1,2019-10-23
Maihar,Satisfactory,95,"PM
10",1,2019-10-24
Maihar,Satisfactory,56,"PM
2.5",1,2019-10-25
Maihar,Good,40,"PM
10",1,2019-10-26
Maihar,Satisfactory,92,"PM
10",1,2019-10-27
Maihar,Satisfactory,99,"PM
10",1,2019-10-28
Maihar,Moderate,101,"PM
10",1,2019-10-29
Maihar,Satisfactory,56,"PM
2.5",1,2019-10-30
Maihar,Satisfactory,97,"PM
2.5",1,2019-10-31
Maihar,Satisfactory,61,"PM
10",1,2019-11-01
Maihar,Good,48,"PM
10",1,2019-11-02
Maihar,Good,40,"PM
2.5",1,2019-11-03
Maihar,Satisfactory,70,"PM
2.5",1,2019-11-04
Maihar,Satisfactory,62,"PM
10",1,2019-11-05
Maihar,Satisfactory,51,"PM
10",1,2019-11-06
Maihar,Satisfactory,56,"PM
10",1,2019-11-07
Maihar,Satisfactory,69,"PM
10",1,2019-11-08
Maihar,Satisfactory,65,"PM
10",1,2019-11-09
Maihar,Good,42,"PM
10",1,2019-11-10
Maihar,Good,35,"PM
10",1,2019-11-11
Maihar,Good,45,"PM
10",1,2019-11-12
Maihar,Satisfactory,60,"PM
10",1,2019-11-13
Maihar,Satisfactory,67,"PM
10",1,2019-11-14
Maihar,Satisfactory,58,"PM
10",1,2019-11-15
Maihar,Satisfactory,71,"PM
10",1,2019-11-16
Maihar,Satisfactory,68,"PM
10",1,2019-11-17
Maihar,Good,37,"PM
10",1,2019-11-18
Maihar,Good,40,"PM
10",1,2019-11-19
Maihar,Satisfactory,62,"PM
10",1,2019-11-20
Maihar,Satisfactory,70,"PM
10",1,2019-11-21
Maihar,Satisfactory,67,"PM
10",1,2019-11-22
Maihar,Satisfactory,72,"PM
10",1,2019-11-23
Maihar,Good,45,"PM
10",1,2019-11-24
Maihar,Good,34,"PM
10",1,2019-11-25
Maihar,Satisfactory,80,"PM
10",1,2019-11-26
Maihar,Satisfactory,59,"PM
10",1,2019-11-27
Maihar,Satisfactory,53,"PM
10",1,2019-11-28
Maihar,Satisfactory,63,"PM
10",1,2019-11-29
Maihar,Good,50,"PM
10",1,2019-11-30
Maihar,Good,42,CO,1,2019-12-01
Maihar,Satisfactory,52,"PM
10",1,2019-12-02
Maihar,Good,40,"PM
10",1,2019-12-03
Maihar,Good,38,CO,1,2019-12-04
Maihar,Satisfactory,72,"PM
10",1,2019-12-07
Maihar,Satisfactory,67,"PM
10",1,2019-12-08
Maihar,Satisfactory,67,"PM
10",1,2019-12-09
Maihar,Satisfactory,67,"PM
10",1,2019-12-10
Maihar,Satisfactory,66,"PM
10",1,2019-12-11
Maihar,Satisfactory,63,"PM
10",1,2019-12-12
Maihar,Good,36,"PM
10",1,2019-12-13
Maihar,Good,43,"PM
10",1,2019-12-14
Maihar,Satisfactory,85,"PM
10",1,2019-12-15
Maihar,Satisfactory,75,"PM
10",1,2019-12-16
Maihar,Satisfactory,56,"PM
2.5",1,2019-12-17
Maihar,Satisfactory,70,"PM
2.5",1,2019-12-18
Maihar,Satisfactory,82,"PM
2.5",1,2019-12-19
Maihar,Moderate,108,"PM
2.5",1,2019-12-20
Maihar,Satisfactory,52,"PM
2.5",1,2019-12-21
Maihar,Satisfactory,92,"PM
2.5",1,2019-12-22
Maihar,Satisfactory,77,"PM
2.5",1,2019-12-23
Maihar,Moderate,130,"PM
2.5",1,2019-12-24
Maihar,Moderate,130,"PM
2.5",1,2019-12-25
Maihar,Satisfactory,74,"PM
2.5",1,2019-12-27
Maihar,Moderate,134,"PM
2.5",1,2019-12-28
Maihar,Moderate,112,"PM
2.5",1,2019-12-29
Maihar,Moderate,168,"PM
2.5",1,2019-12-30
Maihar,Moderate,190,"PM
2.5",1,2019-12-31
Maihar,Good,46,"PM
10",1,2020-01-09
Maihar,Good,37,"PM
10",1,2020-01-10
Maihar,Good,35,"PM
10",1,2020-01-11
Maihar,Satisfactory,78,"PM
2.5",1,2020-01-12
Maihar,Satisfactory,51,"PM
2.5",1,2020-01-13
Maihar,Satisfactory,57,"PM
10",1,2020-01-14
Maihar,Moderate,152,"PM
2.5",1,2020-01-15
Maihar,Satisfactory,64,"PM
10",1,2020-01-16
Maihar,Good,32,CO,1,2020-01-17
Maihar,Good,29,CO,1,2020-01-18
Maihar,Good,37,"PM
2.5",1,2020-01-20
Maihar,Satisfactory,54,"PM
2.5",1,2020-01-21
Maihar,Satisfactory,65,"PM
2.5",1,2020-01-22
Maihar,Satisfactory,52,"PM
2.5",1,2020-01-23
Maihar,Good,26,CO,1,2020-01-24
Maihar,Good,28,CO,1,2020-01-25
Maihar,Good,28,CO,1,2020-01-26
Maihar,Good,29,"PM
10",1,2020-01-27
Maihar,Satisfactory,68,"PM
10",1,2020-01-28
Maihar,Satisfactory,51,"PM
10",1,2020-01-29
Maihar,Satisfactory,87,"PM
10",1,2020-01-30
Maihar,Satisfactory,68,"PM
10",1,2020-01-31
Maihar,Satisfactory,62,"PM
10",1,2020-02-01
Maihar,Satisfactory,79,"PM
10",1,2020-02-02
Maihar,Satisfactory,80,"PM
10",1,2020-02-03
Maihar,Satisfactory,89,"PM
10",1,2020-02-04
Maihar,Satisfactory,92,"PM
10",1,2020-02-05
Maihar,Satisfactory,52,"PM
10",1,2020-02-06
Maihar,Satisfactory,65,"PM
2.5",1,2020-02-07
Maihar,Satisfactory,68,"PM
10",1,2020-02-08
Maihar,Satisfactory,59,"PM
10",1,2020-02-09
Maihar,Satisfactory,57,"PM
10",1,2020-02-10
Maihar,Satisfactory,78,"PM
10",1,2020-02-11
Maihar,Satisfactory,67,"PM
10",1,2020-02-12
Maihar,Satisfactory,58,"PM
10",1,2020-02-13
Maihar,Satisfactory,56,"PM
10",1,2020-02-14
Maihar,Satisfactory,57,"PM
10",1,2020-02-15
Maihar,Good,50,"PM
10",1,2020-02-16
Maihar,Good,47,"PM
10",1,2020-02-17
Maihar,Satisfactory,51,"PM
10",1,2020-02-18
Maihar,Good,47,"PM
10",1,2020-02-19
Maihar,Satisfactory,55,"PM
10",1,2020-02-20
Maihar,Satisfactory,63,"PM
10",1,2020-02-21
Maihar,Satisfactory,87,"PM
2.5",1,2020-02-22
Maihar,Satisfactory,74,"PM
10",1,2020-02-23
Maihar,Satisfactory,64,"PM
10",1,2020-02-24
Maihar,Good,50,"PM
2.5",1,2020-02-25
Maihar,Satisfactory,59,"PM
10",1,2020-02-26
Maihar,Good,49,"PM
10",1,2020-02-27
Maihar,Good,48,"NO
2",1,2020-02-28
Maihar,Satisfactory,54,"PM
2.5",1,2020-02-29
Maihar,Satisfactory,58,"PM
2.5",1,2020-03-01
Maihar,Good,46,"NO
2",1,2020-03-02
Maihar,Satisfactory,59,"PM
10",1,2020-03-03
Maihar,Satisfactory,57,"PM
10",1,2020-03-04
Maihar,Satisfactory,53,"PM
10",1,2020-03-05
Maihar,Good,46,"NO
2",1,2020-03-06
Maihar,Satisfactory,58,"PM
10",1,2020-03-07
Maihar,Satisfactory,69,"PM
10",1,2020-03-08
Maihar,Good,41,"NO
2",1,2020-03-09
Maihar,Satisfactory,58,"PM
10",1,2020-03-10
Maihar,Satisfactory,54,"PM
10",1,2020-03-11
Maihar,Satisfactory,62,"PM
10",1,2020-03-12
Maihar,Good,50,"PM
10",1,2020-03-13
Maihar,Good,48,"NO
2",1,2020-03-14
Maihar,Good,48,"PM
10",1,2020-03-15
Maihar,Satisfactory,62,"PM
10",1,2020-03-16
Maihar,Satisfactory,52,"PM
10",1,2020-03-17
Maihar,Good,48,"PM
10",1,2020-03-18
Maihar,Good,50,"NO
2",1,2020-03-19
Maihar,Good,50,"NO
2",1,2020-03-20
Maihar,Satisfactory,54,"PM
10",1,2020-03-21
Maihar,Satisfactory,56,"PM
10",1,2020-03-22
Maihar,Satisfactory,53,"PM
10",1,2020-03-23
Maihar,Good,48,"PM
10",1,2020-03-24
Maihar,Satisfactory,52,"PM
10",1,2020-03-25
Maihar,Satisfactory,51,"NO
2",1,2020-03-26
Maihar,Satisfactory,78,"PM
2.5",1,2020-03-27
Maihar,Good,45,"NO
2",1,2020-03-28
Maihar,Satisfactory,51,"NO
2",1,2020-03-29
Maihar,Good,50,"NO
2",1,2020-03-30
Maihar,Satisfactory,51,"NO
2",1,2020-03-31
Maihar,Satisfactory,52,"NO
2",1,2020-04-01
Maihar,Good,44,"PM
10",1,2020-04-02
Maihar,Good,40,"NO
2",1,2020-04-03
Maihar,Good,45,"NO
2",1,2020-04-04
Maihar,Satisfactory,59,"NO
2",1,2020-04-05
Maihar,Satisfactory,56,"NO
2",1,2020-04-06
Maihar,Good,42,"PM
10",1,2020-04-07
Maihar,Good,42,"PM
10",1,2020-04-08
Maihar,Good,38,"PM
10",1,2020-04-09
Maihar,Good,49,"PM
10",1,2020-04-10
Maihar,Good,44,"PM
10",1,2020-04-11
Maihar,Satisfactory,58,"PM
10",1,2020-04-12
Maihar,Good,46,"PM
10",1,2020-04-13
Maihar,Satisfactory,53,"PM
10",1,2020-04-14
Maihar,Good,38,"PM
10",1,2020-04-15
Maihar,Good,43,"PM
10",1,2020-04-16
Maihar,Good,50,"PM
10",1,2020-04-17
Maihar,Satisfactory,54,"PM
10",1,2020-04-18
Maihar,Good,43,"PM
10",1,2020-04-19
Maihar,Satisfactory,73,"PM
10",1,2020-04-20
Maihar,Satisfactory,64,"PM
10",1,2020-04-21
Maihar,Satisfactory,56,"NO
2",1,2020-04-22
Maihar,Satisfactory,61,"NO
2",1,2020-04-23
Maihar,Satisfactory,53,"NO
2",1,2020-04-24
Maihar,Satisfactory,61,"NO
2",1,2020-04-25
Maihar,Satisfactory,52,"NO
2",1,2020-04-26
Maihar,Good,49,"NO
2",1,2020-04-27
Maihar,Good,50,"NO
2",1,2020-04-28
Maihar,Satisfactory,52,"NO
2",1,2020-04-29
Maihar,Good,47,"PM
10",1,2020-04-30
Maihar,Satisfactory,58,"PM
10",1,2020-05-01
Maihar,Satisfactory,54,"PM
10",1,2020-05-02
Maihar,Satisfactory,59,"PM
10",1,2020-05-03
Maihar,Good,44,"PM
10",1,2020-05-04
Maihar,Good,31,"PM
10",1,2020-05-05
Maihar,Good,30,"PM
10",1,2020-05-06
Maihar,Good,39,"PM
10",1,2020-05-07
Maihar,Good,44,"PM
10",1,2020-05-09
Maihar,Satisfactory,51,"PM
10",1,2020-05-10
Maihar,Good,30,"PM
10",1,2020-05-11
Maihar,Good,29,"PM
10",1,2020-05-12
Maihar,Satisfactory,53,"PM
10",1,2020-05-13
Maihar,Satisfactory,60,"PM
10",1,2020-05-14
Maihar,Satisfactory,58,"PM
10",1,2020-05-15
Maihar,Good,36,"PM
10",1,2020-05-16
Maihar,Satisfactory,68,"PM
10",1,2020-05-17
Maihar,Good,46,"PM
10",1,2020-05-18
Maihar,Satisfactory,55,"PM
10",1,2020-05-19
Maihar,Satisfactory,72,"PM
10",1,2020-05-20
Maihar,Satisfactory,63,"PM
10",1,2020-05-21
Maihar,Satisfactory,64,"PM
10",1,2020-05-24
Maihar,Satisfactory,53,"PM
10",1,2020-05-25
Maihar,Good,48,"PM
10",1,2020-05-26
Maihar,Good,38,"NO
2",1,2020-05-27
Maihar,Good,45,"PM
10",1,2020-05-28
Maihar,Satisfactory,53,"NO
2",1,2020-05-29
Maihar,Satisfactory,56,"NO
2",1,2020-05-30
Maihar,Satisfactory,61,"NO
2",1,2020-05-31
Maihar,Satisfactory,60,CO,1,2020-06-01
Maihar,Satisfactory,92,CO,1,2020-06-02
Maihar,Satisfactory,80,CO,1,2020-06-03
Maihar,Good,49,CO,1,2020-06-05
Maihar,Good,42,"PM
10",1,2020-06-06
Maihar,Satisfactory,60,"PM
10",1,2020-06-07
Maihar,Satisfactory,56,"PM
10",1,2020-06-08
Maihar,Satisfactory,53,"PM
10",1,2020-06-09
Maihar,Good,50,"PM
10",1,2020-06-10
Maihar,Satisfactory,56,"PM
10",1,2020-06-11
Maihar,Good,32,"NO
2",1,2020-06-12
Maihar,Good,29,"NO
2",1,2020-06-13
Maihar,Good,26,"NO
2",1,2020-06-14
Maihar,Good,25,"NO
2",1,2020-06-15
Maihar,Good,30,"PM
10",1,2020-06-16
Maihar,Good,48,"PM
10",1,2020-06-17
Maihar,Good,43,"PM
10",1,2020-06-18
Maihar,Good,40,"PM
10",1,2020-06-19
Maihar,Satisfactory,55,"PM
10",1,2020-06-20
Maihar,Good,31,"PM
10",1,2020-06-21
Maihar,Good,31,"PM
10",1,2020-06-22
Maihar,Good,24,"NO
2",1,2020-06-23
Maihar,Good,40,"PM
10",1,2020-06-24
Maihar,Good,42,"PM
10",1,2020-06-25
Maihar,Good,38,"PM
10",1,2020-06-26
Maihar,Good,23,CO,1,2020-06-27
Maihar,Good,43,"PM
10",1,2020-06-28
Maihar,Good,32,"PM
10",1,2020-06-29
Maihar,Good,24,CO,1,2020-06-30
Maihar,Satisfactory,54,"PM
10",1,2020-07-01
Maihar,Good,38,"PM
2.5",1,2020-07-02
Maihar,Good,34,"PM
10",1,2020-07-03
